id,indirizzo,latitudine,longitudine,prezzo_benzina,prezzo_diesel
53858,"VIA Canaletto 32 32 41030, BASTIGLIA (MO) 32 41030",44.763635532802795,10.920110815085048,1.87063671875,1.8427372549019605
23298,"Statale 12 dell'Abetone e del Brennero, Km. 195+900, dir. Verona  41030",44.72574805676501,10.991131961345673,1.87063671875,1.8427372549019605
57045,CANALETTO SS12 195 41030,38.3590866,16.0757863,1.899,1.829
44966,PANARIA BASSA 70/A 41030,44.772744464405946,11.091340564418033,1.829,1.799
41979,PER MODENA 140 41030,44.68996156915022,11.006452739238739,1.829,1.799
5425,Via Gorghetto 2 41030,44.73689245437823,11.038011505956774,1.899,1.839
46180,via per modena 54/a  ,44.72481122438877,11.041061282157898,1.859,1.819
9784,VIA GIUSEPPE DI VITTORIO 19 41011,44.6912089172356,10.846072733402252,1.904,1.884
3894,"Autostrada A22 BRENNERO-MODENA,  Km. 297.85, dir. Nord 41013",44.70421995079144,10.849074125289917,2.009,1.939
3887,"Autostrada A22 BRENNERO-MODENA,  Km. 308.49, dir. Sud - 41011",44.70278984467375,10.847896340846546,1.999,1.929
12680,VIA PONTE ALTO 30 41011,44.688300937196686,10.857815275949065,1.87063671875,1.8427372549019605
48531,VIA PER CAVEZZO 24/B 41031,44.79791857279223,11.116893706209158,1.829,1.809
21339,"Via per San Felice 18A, 41031  ",44.79246725805486,11.135552823543549,1.904,1.859
56388,PER SAN FELICE 64 41031,44.86908,11.11665,1.859,1.799
36737,VIA PANARIA OVEST 18 41031,44.784718110538776,11.129060536623001,1.904,1.859
8413,"Statale 413 Romana, Km. 25, dir. nord - 41012",44.805251041807004,10.878536998672416,1.87063671875,1.8427372549019605
15971,via papa giovanni xxiii 107 41012,44.79254415799769,10.875249803066254,1.87063671875,1.8427372549019605
56655,PAPA GIOVANNI XXIII 107 41012,44.7925344932505,10.875303972660063,1.819,1.789
15432,C. MARX 68 41012,44.77241218458024,10.881351871899142,1.869,1.859
11299,VIA LAMA 31/33 41012,44.768879149084846,10.884506220901471,1.849,1.819
29608,VIA N. BIONDO 83/87 41012,44.78301041919284,10.888803847885129,1.849,1.849
54202,VIA DELL'INDUSTRIA 8 41012,44.7691231,10.8500053,1.899,1.839
23747,VIA GUASTALLA 4A 41012,44.79437012111083,10.869371742010117,1.849,1.819
6531,VIA LENIN 16 41012,44.77766366837263,10.878535225794963,1.849,1.819
11724,VIA ALDO MORO 60 41012,44.76997952491361,10.902678072452545,1.869,1.839
56516,"VIA DELL'INDUSTRIA 4/D 41012, CARPI (MO) 4/D 41012",45.6778,9.6689,1.899,1.829
53912,C. MARX 160 41012,44.76108333837985,10.87445199305382,1.849,1.829
48568,Tangenziale 12 Luglio 1944 SNC  41012,44.80645958197752,10.891315271163942,1.829,1.799
14080,VIA MANZONI - IMPIANTO 6210 114 41012,44.791287858718555,10.879393815994263,1.909,1.839
48086,via romana nord  92 42044,44.80748919337401,10.883222914337543,1.879,1.869
15559,VIA TRAVERSA SAN GIORGIO 10/B 41012,44.761321706301835,10.863309063227234,1.839,1.809
9210,VIA CARLO MARX 104 41012,44.769397767196295,10.879570236109657,1.949,1.909
51676,via karl marx 34 41012,44.77491877870815,10.88293069572835,1.909,1.839
33558,VIA ROMANA SP 413 ROMANA NORD 127 41012,44.84290720880278,10.89770257472992,1.819,1.799
49011,VIA ROOSEVELT 40 41012,44.789653486760066,10.892126262187958,1.899,1.869
40873,via carlo marx 60 41012,44.773579458916984,10.882135704159737,1.899,1.869
57416,DELL'INDUSTRIA 3 41012,44.7914906,10.8642014,1.899,1.839
15583,Via Vasco de Gama 2/B 41012,44.770434642071834,10.87575462644304,1.869,1.819
29111,VIA EMILIA OVEST 142/A 41013,44.6122991913793,11.014651842922149,1.869,1.849
30557,VIA MAVORA 113/D 41012,44.63504199032591,11.010610321426384,1.879,1.859
11719,VIA EMILIA OVEST 18 41013,44.598071888199264,11.044309212303233,1.869,1.849
39986,Via Per Panzano 161 41013,44.614797961381726,11.049299183506378,1.889,1.859
35332,VIA MUZZACORONA 111/B 41013,44.547561595529835,11.063521472457309,1.869,1.829
46306,"9 Via Emilia, Km. 134-171, BOLOGNA - 41013",44.582789918128725,11.086999475955963,1.879,1.859
22361,VIA EMILIA EST 83 41013,44.58576466751548,11.080575585365295,1.839,1.799
4526,VIA EMILIA EST 83 41013,44.585517095929454,11.08039990067482,1.87063671875,1.8427372549019605
37507,CORSO MARTIRI 62 41013,44.59350348474112,11.057280167459112,1.849,1.849
54990,VANDELLI 33/A 41051,44.574706075675024,10.907186704025271,1.825,1.795
47207,VIA MONTANARA 18/A 41051,44.549592965568735,10.929147629346083,1.939,1.899
44970,VIA DELLA PACE 25 41051,44.542864000123,10.931248000123,1.939,1.899
51701,VIA PER SPILAMBERTO 9/A 41051,44.54260811950126,10.955138741069778,1.939,1.899
31088,VIA PER MODENA 8 41014,44.50707844542661,10.946571081876755,1.899,1.879
46803,CA' DI SOLA  - Via Statale  19/A 41014,44.530140048593324,10.956791043281555,1.859,1.829
40122,ALDO MORO 200 41032,44.831215613113905,11.023239344358444,1.839,1.809
46554,VIA VOLTURNO 124 41032,44.8272096298748,11.036549244255411,1.859,1.849
52876,CAVOUR  343-345-347-349 349  41030,44.823657,10.9979115,1.859,1.849
29678,CARDUCCI 44 41033,44.911924401552234,10.983704924583435,1.849,1.829
10700,VIA PER MIRANDOLA 4 41033,44.91337143873299,10.98669558763504,1.87063671875,1.8427372549019605
27296,via Porretana 206 41021,44.2071385864721,10.796867609024048,1.869,1.869
51883,VIA ROTTA 12/E 41034,44.83399747376504,11.29061812245606,1.899,1.864
57659,VIA ROTTA 12/E 41034,44.83399747376504,11.29061812245606,1.899,1.864
56589,PER MODENA 48/A 41034,44.83746,11.27719,1.87063671875,1.8427372549019605
52543,VIA PER MODENA 54 41034,44.83816794991628,11.258907457840364,1.889,1.864
34777,VIA FERRARA 6/D 41034,44.833271878719515,11.306717991828918,1.859,1.829
51689,VIA PER FERRARA 85/A 41034,44.83114832440301,11.339987516403193,1.879,1.809
45044,MONTE BIANCO 21 41034,44.847331389108746,11.217987835407257,1.879,1.839
56389,PER CENTO 2/C 41034,44.89424,11.30337,1.879,1.839
35035,via per modena 6 41034,44.835594509551086,11.288844421505928,1.879,1.839
54251,DANTE ALIGHIERI 6/A 41034,45.4642035,9.189982,1.879,1.839
55707,ANTICA CAVA 5 41042,44.54613392134146,10.790893546859357,1.879,1.859
55038,SAN FRANCESCO 206 41042,44.538121220637656,10.824531751022342,1.827,1.797
49031,VIA GHIAROLA  NUOVA 00 41042,44.5530539597274,10.810430453305194,1.909,1.889
35190,VIA FLUMENDOSA 24 41042,44.53532848170336,10.8304288256561,1.899,1.869
55758,S. GIOV. EVANGELISTA 36/38 41042,44.53477152918579,10.841349327898254,1.849,1.839
53309,"VIA VIA PEDEMONTANA 220/222 41042, FIORANO MODENESE (MO) 222  41042",44.551315331587546,10.81765369888914,1.849,1.839
51163,"Strada Statale, Km. 10, maranello/sassuolo  41042",44.538870638895155,10.808557090588321,1.849,1.839
52310,SPEZZANO - VIA STATALE 38 41042,44.533539097515195,10.839594855953605,1.869,1.829
5586,VIA PEDEMONTANA 105 41042,44.54945628502891,10.831744372844696,1.904,1.859
37827,VIA SAN FRANCESCO 38 41042,44.540699409914126,10.821686106346078,1.849,1.839
53192,GIARDINI NORD 270 41043,44.59196730000001,10.8556966,1.949,1.889
55987,SUPERSTRADA MO/SASSUOLO CASINALBO  ,44.59262,10.844604,1.894,1.859
10972,SUPERSTRADA MODENA SASSUOLO SN 41043,44.59273711882088,10.84465116262436,1.87063671875,1.8427372549019605
50753,"ND SS. 724 MODENA/SASSUOLO KM. 17+000 SNC 41043, FORMIGINE (MO) KM 17+00 41043",44.57068151817505,10.826044082641596,1.889,1.849
27092,via modena sassuolo km17 latosx direzione modena  41043,44.57038635786136,10.826811481323261,1.849,1.829
35298,VIA RADICI IN PIANO 5 41043,44.569199289361514,10.816616847429714,1.879,1.859
